sku,product_name,description
PA-BR-1000,AutoPro Brake Pad Set for Ford F-150,"Heavy-duty brake pad set designed for Ford F-150 models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features a quiet operation design and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-RA-1001,DuraMax Radiator for Honda Civic,"Long-life radiator designed for Honda Civic models, years 2017-2021. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OX-1002,DuraMax Oxygen Sensor for Toyota Camry,"High-performance oxygen sensor designed for Toyota Camry models, years 2016-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features all necessary hardware and all necessary hardware. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1003,ProStop Control Arm for Ford F-150,"Heavy-duty control arm designed for Ford F-150 models, years 2012-2016. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-BR-1004,OEM-Fit Brake Pad Set for Nissan Rogue,"Premium brake pad set designed for Nissan Rogue models, years 2011-2015. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-OI-1005,EnduroGold Oil Filter for Toyota Camry,"Long-life oil filter designed for Toyota Camry models, years 2010-2014. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-CO-1006,OEM-Fit Control Arm for Ford F-150,"Heavy-duty control arm designed for Ford F-150 models, years 2013-2017. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features enhanced durability materials and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-ST-1007,AutoPro Strut Assembly for Chevrolet Silverado,"Heavy-duty strut assembly designed for Chevrolet Silverado models, years 2015-2019. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and a quiet operation design. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-WI-1008,EnduroGold Wiper Blade for Chevrolet Silverado,"Premium wiper blade designed for Chevrolet Silverado models, years 2018-2022. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and enhanced durability materials. Ideal for DIY mechanics and professional installers looking for quality and value."
PA-AL-1009,ProStop Alternator for Honda Civic,"High-performance alternator designed for Honda Civic models, years 2015-2020. Engineered for a perfect fit and to meet or exceed OEM specifications. This part features corrosion-resistant coating and corrosion-resistant coating. Ideal for DIY mechanics and professional installers looking for quality and value."
